week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt,country_pop,trend_count
27,TV Show,Dark,Germany,Mystery,12/1/2017,TRUE,87,94,MAR,https://flixpatrol.com/title/dark-2017,AFR,2017,12,83783945,84
26,Movie,365 Days,Poland,Romance,6/7/2020,FALSE,35,0,MAR,https://flixpatrol.com/title/365-days,AFR,2020,6,37846605,145
26,TV Show,The Order,United States of America,Fantasy,3/7/2019,TRUE,69,100,MAR,https://flixpatrol.com/title/the-order-2019,AFR,2019,3,331002647,1808
37,Movie,"Love, Guaranteed",United States of America,Comedy,9/3/2020,TRUE,55,50,NGA,https://flixpatrol.com/title/love-guaranteed,AFR,2020,9,331002647,1808
37,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,NGA,https://flixpatrol.com/title/lucifer,AFR,2016,1,331002647,1808
36,Movie,Santana,South Africa,Action,8/28/2020,FALSE,39,0,NGA,https://flixpatrol.com/title/santana,AFR,2020,8,59308690,17
36,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,NGA,https://flixpatrol.com/title/lucifer,AFR,2016,1,331002647,1808
35,Movie,The Sleepover,United States of America,Comedy,8/21/2020,TRUE,55,80,NGA,https://flixpatrol.com/title/the-sleepover,AFR,2020,8,331002647,1808
35,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,NGA,https://flixpatrol.com/title/lucifer,AFR,2016,1,331002647,1808
34,Movie,Project Power,United States of America,Action,8/14/2020,TRUE,61,63,NGA,https://flixpatrol.com/title/project-power,AFR,2020,8,331002647,1808
34,TV Show,Greenleaf,United States of America,Drama,6/21/2016,TRUE,73,82,NGA,https://flixpatrol.com/title/greenleaf,AFR,2016,6,331002647,1808
33,Movie,Work It,United States of America,Comedy,8/7/2020,TRUE,61,0,NGA,https://flixpatrol.com/title/work-it-2020,AFR,2020,8,331002647,1808
33,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,NGA,https://flixpatrol.com/title/the-umbrella-academy,AFR,2019,2,331002647,1808
32,Movie,Fix Us,Ghana,Unknown,1/1/1900,FALSE,0,0,NGA,https://flixpatrol.com/title/fix-us,AFR,1900,1,31072945,1
32,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,NGA,https://flixpatrol.com/title/the-umbrella-academy,AFR,2019,2,331002647,1808
31,Movie,It’s Her Day,Nigeria,Situation,1/1/1900,FALSE,0,0,NGA,https://flixpatrol.com/title/its-her-day,AFR,1900,1,206139587,6
31,TV Show,Cursed,United States of America,Fantasy,7/17/2020,TRUE,51,69,NGA,https://flixpatrol.com/title/cursed-2020,AFR,2020,7,331002647,1808
30,Movie,The Millions,Nigeria,Drama,8/30/2019,FALSE,68,0,NGA,https://flixpatrol.com/title/the-millions,AFR,2019,8,206139587,6
30,TV Show,Cursed,United States of America,Fantasy,7/17/2020,TRUE,51,69,NGA,https://flixpatrol.com/title/cursed-2020,AFR,2020,7,331002647,1808
29,Movie,The Old Guard,United States of America,Superhero,7/10/2020,TRUE,82,80,NGA,https://flixpatrol.com/title/the-old-guard,AFR,2020,7,331002647,1808
29,TV Show,Warrior Nun,United States of America,Fantasy,7/2/2020,TRUE,69,0,NGA,https://flixpatrol.com/title/warrior-nun,AFR,2020,7,331002647,1808
28,Movie,Sugar Rush,Nigeria,Comedy,12/25/2019,FALSE,75,0,NGA,https://flixpatrol.com/title/sugar-rush-2019,AFR,2019,12,206139587,6
28,TV Show,Warrior Nun,United States of America,Fantasy,7/2/2020,TRUE,69,0,NGA,https://flixpatrol.com/title/warrior-nun,AFR,2020,7,331002647,1808
27,Movie,Kasanova,Nigeria,Drama,9/13/2019,FALSE,0,0,NGA,https://flixpatrol.com/title/kasanova,AFR,2019,9,206139587,6
27,TV Show,The King: Eternal Monarch,South Korea,Fantasy,4/17/2020,TRUE,87,0,NGA,https://flixpatrol.com/title/the-king-eternal-monarch,AFR,2020,4,51640000,193
26,Movie,Elevator Baby,Nigeria,Drama,1/1/2019,FALSE,70,0,NGA,https://flixpatrol.com/title/elevator-baby,AFR,2019,1,206139587,6
26,TV Show,The King: Eternal Monarch,South Korea,Fantasy,4/17/2020,TRUE,87,0,NGA,https://flixpatrol.com/title/the-king-eternal-monarch,AFR,2020,4,51640000,193
25,Movie,365 Days,Poland,Romance,6/7/2020,FALSE,35,0,NGA,https://flixpatrol.com/title/365-days,AFR,2020,6,37846605,145
25,TV Show,The King: Eternal Monarch,South Korea,Fantasy,4/17/2020,TRUE,87,0,NGA,https://flixpatrol.com/title/the-king-eternal-monarch,AFR,2020,4,51640000,193
24,Movie,365 Days,Poland,Romance,6/7/2020,FALSE,35,0,NGA,https://flixpatrol.com/title/365-days,AFR,2020,6,37846605,145
24,TV Show,The King: Eternal Monarch,South Korea,Fantasy,4/17/2020,TRUE,87,0,NGA,https://flixpatrol.com/title/the-king-eternal-monarch,AFR,2020,4,51640000,193
